name,longitude,latitude,address,CITY,STATE,ZIP5,zip4,County
Family Dollar 8444,-87.539467,41.608383,893 Burnham Ave,Calumet City,IL,60409,4709,COOK 
Walgreens 6228,-87.82341,42.054985,2690 Golf Rd,Glenview,IL,60025,4744,COOK 
D & D FINER FOODS,-87.683098,42.058456,825 Noyes St,Evanston,IL,60201,2821,COOK 
Aldi 38,-87.869118,41.094879,2705 S Schuyler Ave,Kankakee,IL,60901,,KANKAKEE 
MISCH BROS,-87.539505,41.613525,745 Burnham Ave,Calumet City,IL,60409,4542,COOK 
Discount Gas,-88.276779,40.116268,102 S Mattis Ave,Champaign,IL,61821,3050,CHAMPAIGN 
7-Eleven 33731A,-87.651169,41.880474,954 W Monroe St,Chicago,IL,60607,2632,COOK 
Bp Fairview Heights,-89.984802,38.592323,6400 N Illinois St,Fairview Heights,IL,62208,2721,ST CLAIR 
SAVE-A-LOT 882,-87.617386,41.780254,344 E 63rd St,Chicago,IL,60637,3155,COOK 
Monroe Center Oasis,-89.017326,42.101318,5534 N Limestone Rd,Monroe Center,IL,61052,9702,OGLE 
Lambert Marathon Foodshop 1,-88.087875,41.551556,1529 N Broadway St,Joliet,IL,60435,2616,WILL 
Parkside Market,-90.103645,38.718731,3202 Maryville Rd,Granite City,IL,62040,5186,MADISON 
Circle K 6736,-87.63765,41.896568,350 W Chicago Ave,Chicago,IL,60654,3524,COOK 
QC Mart - Silvis,-90.408524,41.510735,1440 1st Ave,Silvis,IL,61282,1010,ROCK ISLAND 
Szymanski Deli,-87.777458,41.953102,6016 W Irving Park Rd,Chicago,IL,60634,2520,COOK 
7-Eleven 33508C,-87.663475,41.920994,2181 N Clybourn Ave,Chicago,IL,60614,4035,COOK 
Cheers Food And Fuel 235,-89.157692,37.368023,510 NE Front St,Dongola,IL,62926,2349,UNION 
Casey's General Store 2912,-90.22345,39.723164,525 E Morton Ave,Jacksonville,IL,62650,3029,MORGAN 
CVS 8946,-87.989487,42.180058,4186 RTE 83,Long Grove,IL,60047,,LAKE 
Aldi 59,-90.067223,38.86591,399 Lakin Blvd,Wood River,IL,62095,2281,MADISON 
Shell,-87.66143,41.662941,1620 W 127th St,Calumet Park,IL,60827,5904,COOK 
Grand Avenue Station,-87.71711,41.902443,3601 W Grand Ave,Chicago,IL,60651,3904,COOK 
Tony's Mobil,-87.68634,41.864532,2401 W Ogden Ave,Chicago,IL,60608,1036,COOK 
Sunset Foods 5,-87.989479,42.181042,4190 IL Route 83,Long Grove,IL,60047,9563,LAKE 
Extra Gas Inc,-87.834038,41.879086,101 Madison St,Maywood,IL,60153,2324,COOK 
Food 4 Less 568,-87.674309,41.507545,1333 Western Ave,Chicago Heights,IL,60411,3176,COOK 
Hashmi Stop Inc.,-88.307045,41.755547,444 E New York St,Aurora,IL,60505,3425,KANE 
Jalaram Plaza,-88.202629,41.78149,2811 Patriot,Naperville,IL,60563,9407,DU PAGE 
JEWEL 3181,-87.626495,41.73624,87 W 87th St,Chicago,IL,60620,1315,COOK 
Casey's General Store 1945,-89.686195,38.605469,300 W Broadway,Trenton,IL,62293,1112,CLINTON 
Casey's General Store 2041,-89.977982,40.778046,811 W Main St,Elmwood,IL,61529,9788,PEORIA 
Casey's General Store 1707,-90.2911,40.912411,440 Henderson Rd,Knoxville,IL,61448,1066,KNOX 
ALLIANCE POULTRY FARM MARKET INC.,-87.668724,41.896088,1636 W Chicago Ave,Chicago,IL,60622,5128,COOK 
Hwy 50 Motomart 3156,-89.936447,38.592571,970 W US Highway 50,O Fallon,IL,62269,1885,ST CLAIR 
BERWYN FRUIT MARKET,-87.802582,41.822079,3811 S Harlem Ave,Berwyn,IL,60402,3925,COOK 
